,real,null_00,null_01,null_02,null_03,null_04,null_05,null_06,null_07,null_08,null_09,null_10,null_11,null_12,null_13,null_14,null_15,null_16,null_17,null_18,null_19,null_20,null_21,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31,null_32,null_33,null_34,null_35,null_36,null_37,null_38,null_39,null_40,null_41,null_42,null_43,null_44,null_45,null_46,null_47,null_48,null_49,null_50,null_51,null_52,null_53,null_54,null_55,null_56,null_57,null_58,null_59,null_60,null_61,null_62,null_63,null_64,null_65,null_66,null_67,null_68,null_69,null_70,null_71,null_72,null_73,null_74,null_75,null_76,null_77,null_78,null_79,null_80,null_81,null_82,null_83,null_84,null_85,null_86,null_87,null_88,null_89,null_90,null_91,null_92,null_93,null_94,null_95,null_96,null_97,null_98,null_99
Syn,0.13605596899506905,0.0444766713963776,0.04502637528259231,0.046875,0.04299243997673839,0.04802978785539957,0.042579479618747015,0.04511208737066842,0.04437869822485207,0.04332220367278798,0.04469364208651296,0.046143336231524036,0.045059874079256,0.04323406206364754,0.04436537156255785,0.042573945877910635,0.045234820597872254,0.04521657327498057,0.043342095535384234,0.041796631316281974,0.04416964849505367,0.046019151278482856,0.04602778116242232,0.04288831168831169,0.04186250548348687,0.04188138886542198,0.0444766713963776,0.04502637528259231,0.046875,0.04299243997673839,0.04802978785539957,0.042579479618747015,0.04511208737066842,0.04437869822485207,0.04332220367278798,0.04469364208651296,0.046143336231524036,0.045059874079256,0.04323406206364754,0.04436537156255785,0.042573945877910635,0.045234820597872254,0.04521657327498057,0.043342095535384234,0.041796631316281974,0.04416964849505367,0.046019151278482856,0.04602778116242232,0.04288831168831169,0.04186250548348687,0.04188138886542198,0.0444766713963776,0.04502637528259231,0.046875,0.04299243997673839,0.04802978785539957,0.042579479618747015,0.04511208737066842,0.04437869822485207,0.04332220367278798,0.04469364208651296,0.046143336231524036,0.045059874079256,0.04323406206364754,0.04436537156255785,0.042573945877910635,0.045234820597872254,0.04521657327498057,0.043342095535384234,0.041796631316281974,0.04416964849505367,0.046019151278482856,0.04602778116242232,0.04288831168831169,0.04186250548348687,0.04188138886542198,0.0444766713963776,0.04502637528259231,0.046875,0.04299243997673839,0.04802978785539957,0.042579479618747015,0.04511208737066842,0.04437869822485207,0.04332220367278798,0.04469364208651296,0.046143336231524036,0.045059874079256,0.04323406206364754,0.04436537156255785,0.042573945877910635,0.045234820597872254,0.04521657327498057,0.043342095535384234,0.041796631316281974,0.04416964849505367,0.046019151278482856,0.04602778116242232,0.04288831168831169,0.04186250548348687,0.04188138886542198
Gap,0.14826200047292504,0.032631827855284935,0.04681957909671317,0.048238354220856,0.036178765665641995,0.0305036651690707,0.03759754078978482,0.048238354220856,0.039725703475999054,0.03759754078978482,0.04681957909671317,0.03688815322771341,0.04327264128635611,0.039016315913927645,0.04398202884842752,0.039725703475999054,0.03405060297942776,0.0305036651690707,0.04114447860014188,0.039016315913927645,0.03334121541735635,0.035469378103570585,0.04185386616221329,0.024828564672499408,0.042563253724284704,0.04185386616221329,0.032631827855284935,0.04681957909671317,0.048238354220856,0.036178765665641995,0.0305036651690707,0.03759754078978482,0.048238354220856,0.039725703475999054,0.03759754078978482,0.04681957909671317,0.03688815322771341,0.04327264128635611,0.039016315913927645,0.04398202884842752,0.039725703475999054,0.03405060297942776,0.0305036651690707,0.04114447860014188,0.039016315913927645,0.03334121541735635,0.035469378103570585,0.04185386616221329,0.024828564672499408,0.042563253724284704,0.04185386616221329,0.032631827855284935,0.04681957909671317,0.048238354220856,0.036178765665641995,0.0305036651690707,0.03759754078978482,0.048238354220856,0.039725703475999054,0.03759754078978482,0.04681957909671317,0.03688815322771341,0.04327264128635611,0.039016315913927645,0.04398202884842752,0.039725703475999054,0.03405060297942776,0.0305036651690707,0.04114447860014188,0.039016315913927645,0.03334121541735635,0.035469378103570585,0.04185386616221329,0.024828564672499408,0.042563253724284704,0.04185386616221329,0.032631827855284935,0.04681957909671317,0.048238354220856,0.036178765665641995,0.0305036651690707,0.03759754078978482,0.048238354220856,0.039725703475999054,0.03759754078978482,0.04681957909671317,0.03688815322771341,0.04327264128635611,0.039016315913927645,0.04398202884842752,0.039725703475999054,0.03405060297942776,0.0305036651690707,0.04114447860014188,0.039016315913927645,0.03334121541735635,0.035469378103570585,0.04185386616221329,0.024828564672499408,0.042563253724284704,0.04185386616221329
Wired,0.1591943648706981,0.06328248736707143,0.0693094748645113,0.06925735307779492,0.06401705976643005,0.06763570804811403,0.06221700486332383,0.07051460749330954,0.06599279873977947,0.06725015883250993,0.06685225309234524,0.06681176007054541,0.06823179047566033,0.06519977647387538,0.06912803665923153,0.06493100014226774,0.06548546149947007,0.06468567470420848,0.06564300497846395,0.06656796416724452,0.06781587511201245,0.06680542563143124,0.06695263479371426,0.06307289804061812,0.068275302435339,0.06481290055819723,0.06328248736707143,0.0693094748645113,0.06925735307779492,0.06401705976643005,0.06763570804811403,0.06221700486332383,0.07051460749330954,0.06599279873977947,0.06725015883250993,0.06685225309234524,0.06681176007054541,0.06823179047566033,0.06519977647387538,0.06912803665923153,0.06493100014226774,0.06548546149947007,0.06468567470420848,0.06564300497846395,0.06656796416724452,0.06781587511201245,0.06680542563143124,0.06695263479371426,0.06307289804061812,0.068275302435339,0.06481290055819723,0.06328248736707143,0.0693094748645113,0.06925735307779492,0.06401705976643005,0.06763570804811403,0.06221700486332383,0.07051460749330954,0.06599279873977947,0.06725015883250993,0.06685225309234524,0.06681176007054541,0.06823179047566033,0.06519977647387538,0.06912803665923153,0.06493100014226774,0.06548546149947007,0.06468567470420848,0.06564300497846395,0.06656796416724452,0.06781587511201245,0.06680542563143124,0.06695263479371426,0.06307289804061812,0.068275302435339,0.06481290055819723,0.06328248736707143,0.0693094748645113,0.06925735307779492,0.06401705976643005,0.06763570804811403,0.06221700486332383,0.07051460749330954,0.06599279873977947,0.06725015883250993,0.06685225309234524,0.06681176007054541,0.06823179047566033,0.06519977647387538,0.06912803665923153,0.06493100014226774,0.06548546149947007,0.06468567470420848,0.06564300497846395,0.06656796416724452,0.06781587511201245,0.06680542563143124,0.06695263479371426,0.06307289804061812,0.068275302435339,0.06481290055819723
MA,0.1312912387094019,0.08677232854864433,0.1025904099019978,0.09721418194925344,0.09603600836025915,0.1095844232895553,0.09121789835909579,0.09786839819223453,0.08788707498874418,0.09480586779274189,0.09328267477203647,0.10460112365655666,0.10162487858683306,0.09466877992333046,0.11649551743459334,0.1086395803756245,0.09946733965445508,0.10545185491461245,0.09255456562779452,0.0874715830329914,0.10551957745484944,0.09926646336437814,0.09688703782965133,0.09427712336235523,0.09872878568609393,0.09613275199673688,0.08677232854864433,0.1025904099019978,0.09721418194925344,0.09603600836025915,0.1095844232895553,0.09121789835909579,0.09786839819223453,0.08788707498874418,0.09480586779274189,0.09328267477203647,0.10460112365655666,0.10162487858683306,0.09466877992333046,0.11649551743459334,0.1086395803756245,0.09946733965445508,0.10545185491461245,0.09255456562779452,0.0874715830329914,0.10551957745484944,0.09926646336437814,0.09688703782965133,0.09427712336235523,0.09872878568609393,0.09613275199673688,0.08677232854864433,0.1025904099019978,0.09721418194925344,0.09603600836025915,0.1095844232895553,0.09121789835909579,0.09786839819223453,0.08788707498874418,0.09480586779274189,0.09328267477203647,0.10460112365655666,0.10162487858683306,0.09466877992333046,0.11649551743459334,0.1086395803756245,0.09946733965445508,0.10545185491461245,0.09255456562779452,0.0874715830329914,0.10551957745484944,0.09926646336437814,0.09688703782965133,0.09427712336235523,0.09872878568609393,0.09613275199673688,0.08677232854864433,0.1025904099019978,0.09721418194925344,0.09603600836025915,0.1095844232895553,0.09121789835909579,0.09786839819223453,0.08788707498874418,0.09480586779274189,0.09328267477203647,0.10460112365655666,0.10162487858683306,0.09466877992333046,0.11649551743459334,0.1086395803756245,0.09946733965445508,0.10545185491461245,0.09255456562779452,0.0874715830329914,0.10551957745484944,0.09926646336437814,0.09688703782965133,0.09427712336235523,0.09872878568609393,0.09613275199673688
All,0.16469338864057317,0.11837562587375135,0.12929632440637537,0.1252707257893794,0.12566754027173138,0.13046547273313971,0.12134058069978967,0.12628691880101894,0.11987236422250731,0.12596919939813025,0.12336892052194544,0.12982734195628456,0.12978204666688484,0.12165672659573316,0.1327665131772843,0.13084258309829275,0.12780034348335742,0.12735223348587643,0.12294232903552882,0.12176615216500478,0.13005974853090838,0.12595476455320725,0.12827952276339036,0.12109820381049953,0.12429732881565271,0.1256594816139127,0.11837562587375135,0.12929632440637537,0.1252707257893794,0.12566754027173138,0.13046547273313971,0.12134058069978967,0.12628691880101894,0.11987236422250731,0.12596919939813025,0.12336892052194544,0.12982734195628456,0.12978204666688484,0.12165672659573316,0.1327665131772843,0.13084258309829275,0.12780034348335742,0.12735223348587643,0.12294232903552882,0.12176615216500478,0.13005974853090838,0.12595476455320725,0.12827952276339036,0.12109820381049953,0.12429732881565271,0.1256594816139127,0.11837562587375135,0.12929632440637537,0.1252707257893794,0.12566754027173138,0.13046547273313971,0.12134058069978967,0.12628691880101894,0.11987236422250731,0.12596919939813025,0.12336892052194544,0.12982734195628456,0.12978204666688484,0.12165672659573316,0.1327665131772843,0.13084258309829275,0.12780034348335742,0.12735223348587643,0.12294232903552882,0.12176615216500478,0.13005974853090838,0.12595476455320725,0.12827952276339036,0.12109820381049953,0.12429732881565271,0.1256594816139127,0.11837562587375135,0.12929632440637537,0.1252707257893794,0.12566754027173138,0.13046547273313971,0.12134058069978967,0.12628691880101894,0.11987236422250731,0.12596919939813025,0.12336892052194544,0.12982734195628456,0.12978204666688484,0.12165672659573316,0.1327665131772843,0.13084258309829275,0.12780034348335742,0.12735223348587643,0.12294232903552882,0.12176615216500478,0.13005974853090838,0.12595476455320725,0.12827952276339036,0.12109820381049953,0.12429732881565271,0.1256594816139127
NP,0.34148922510172725,0.22728799607546415,0.2448589152972523,0.23320092902953363,0.23662576073391245,0.24046481285166763,0.23323357433526926,0.24035028431214095,0.24285119412124923,0.23812768109113536,0.2443094500084654,0.24420881626941193,0.2375579732344273,0.23475934595984133,0.22833174688573438,0.246789723227992,0.23674845476681025,0.23483244440137127,0.2373621285803882,0.245284448392094,0.2408067287544034,0.2379827080833317,0.24409907359794702,0.24040746529734286,0.2333702928078727,0.237562614448821,0.22728799607546415,0.2448589152972523,0.23320092902953363,0.23662576073391245,0.24046481285166763,0.23323357433526926,0.24035028431214095,0.24285119412124923,0.23812768109113536,0.2443094500084654,0.24420881626941193,0.2375579732344273,0.23475934595984133,0.22833174688573438,0.246789723227992,0.23674845476681025,0.23483244440137127,0.2373621285803882,0.245284448392094,0.2408067287544034,0.2379827080833317,0.24409907359794702,0.24040746529734286,0.2333702928078727,0.237562614448821,0.22728799607546415,0.2448589152972523,0.23320092902953363,0.23662576073391245,0.24046481285166763,0.23323357433526926,0.24035028431214095,0.24285119412124923,0.23812768109113536,0.2443094500084654,0.24420881626941193,0.2375579732344273,0.23475934595984133,0.22833174688573438,0.246789723227992,0.23674845476681025,0.23483244440137127,0.2373621285803882,0.245284448392094,0.2408067287544034,0.2379827080833317,0.24409907359794702,0.24040746529734286,0.2333702928078727,0.237562614448821,0.22728799607546415,0.2448589152972523,0.23320092902953363,0.23662576073391245,0.24046481285166763,0.23323357433526926,0.24035028431214095,0.24285119412124923,0.23812768109113536,0.2443094500084654,0.24420881626941193,0.2375579732344273,0.23475934595984133,0.22833174688573438,0.246789723227992,0.23674845476681025,0.23483244440137127,0.2373621285803882,0.245284448392094,0.2408067287544034,0.2379827080833317,0.24409907359794702,0.24040746529734286,0.2333702928078727,0.237562614448821
All w/ NP,0.3046986440396463,0.23673071609965823,0.24366172965409288,0.23815035917538008,0.23908933009595926,0.24156130032970288,0.23698250738699453,0.24322121653043993,0.24197217034035257,0.24110224982140407,0.2432032196713115,0.2433571376581317,0.24214425350862953,0.23888879249146192,0.23682488168291246,0.247235916870689,0.24071087967963867,0.2409098485080634,0.239905186983617,0.24286257165425582,0.24302052746302535,0.2401747100507271,0.24435012771628475,0.24031517772994965,0.23912482586181477,0.23935238223599972,0.23673071609965823,0.24366172965409288,0.23815035917538008,0.23908933009595926,0.24156130032970288,0.23698250738699453,0.24322121653043993,0.24197217034035257,0.24110224982140407,0.2432032196713115,0.2433571376581317,0.24214425350862953,0.23888879249146192,0.23682488168291246,0.247235916870689,0.24071087967963867,0.2409098485080634,0.239905186983617,0.24286257165425582,0.24302052746302535,0.2401747100507271,0.24435012771628475,0.24031517772994965,0.23912482586181477,0.23935238223599972,0.23673071609965823,0.24366172965409288,0.23815035917538008,0.23908933009595926,0.24156130032970288,0.23698250738699453,0.24322121653043993,0.24197217034035257,0.24110224982140407,0.2432032196713115,0.2433571376581317,0.24214425350862953,0.23888879249146192,0.23682488168291246,0.247235916870689,0.24071087967963867,0.2409098485080634,0.239905186983617,0.24286257165425582,0.24302052746302535,0.2401747100507271,0.24435012771628475,0.24031517772994965,0.23912482586181477,0.23935238223599972,0.23673071609965823,0.24366172965409288,0.23815035917538008,0.23908933009595926,0.24156130032970288,0.23698250738699453,0.24322121653043993,0.24197217034035257,0.24110224982140407,0.2432032196713115,0.2433571376581317,0.24214425350862953,0.23888879249146192,0.23682488168291246,0.247235916870689,0.24071087967963867,0.2409098485080634,0.239905186983617,0.24286257165425582,0.24302052746302535,0.2401747100507271,0.24435012771628475,0.24031517772994965,0.23912482586181477,0.23935238223599972
All (real wired + null MA),0.16469338864057317,0.14405145053552437,0.1513814901824947,0.14756745479833103,0.1475381786110748,0.15388262143441866,0.14660436571587976,0.14722681875834726,0.14335542378793165,0.14837827396616016,0.14750434566674944,0.15157080272516782,0.15055880920222306,0.1464779496909748,0.15573718417934276,0.15538370906315083,0.15078529204706723,0.1520176862527809,0.14682915385453235,0.14462467373892393,0.15336904543712615,0.14918088852010494,0.14899308134634162,0.14561102269871848,0.15023160147823614,0.14646385535428577,0.14405145053552437,0.1513814901824947,0.14756745479833103,0.1475381786110748,0.15388262143441866,0.14660436571587976,0.14722681875834726,0.14335542378793165,0.14837827396616016,0.14750434566674944,0.15157080272516782,0.15055880920222306,0.1464779496909748,0.15573718417934276,0.15538370906315083,0.15078529204706723,0.1520176862527809,0.14682915385453235,0.14462467373892393,0.15336904543712615,0.14918088852010494,0.14899308134634162,0.14561102269871848,0.15023160147823614,0.14646385535428577,0.14405145053552437,0.1513814901824947,0.14756745479833103,0.1475381786110748,0.15388262143441866,0.14660436571587976,0.14722681875834726,0.14335542378793165,0.14837827396616016,0.14750434566674944,0.15157080272516782,0.15055880920222306,0.1464779496909748,0.15573718417934276,0.15538370906315083,0.15078529204706723,0.1520176862527809,0.14682915385453235,0.14462467373892393,0.15336904543712615,0.14918088852010494,0.14899308134634162,0.14561102269871848,0.15023160147823614,0.14646385535428577,0.14405145053552437,0.1513814901824947,0.14756745479833103,0.1475381786110748,0.15388262143441866,0.14660436571587976,0.14722681875834726,0.14335542378793165,0.14837827396616016,0.14750434566674944,0.15157080272516782,0.15055880920222306,0.1464779496909748,0.15573718417934276,0.15538370906315083,0.15078529204706723,0.1520176862527809,0.14682915385453235,0.14462467373892393,0.15336904543712615,0.14918088852010494,0.14899308134634162,0.14561102269871848,0.15023160147823614,0.14646385535428577
