,real,null_00,null_01,null_02,null_03,null_04,null_05,null_06,null_07,null_08,null_09,null_10,null_11,null_12,null_13,null_14,null_15,null_16,null_17,null_18,null_19,null_20,null_21,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31,null_32,null_33,null_34,null_35,null_36,null_37,null_38,null_39,null_40,null_41,null_42,null_43,null_44,null_45,null_46,null_47,null_48,null_49,null_50,null_51,null_52,null_53,null_54,null_55,null_56,null_57,null_58,null_59,null_60,null_61,null_62,null_63,null_64,null_65,null_66,null_67,null_68,null_69,null_70,null_71,null_72,null_73,null_74,null_75,null_76,null_77,null_78,null_79,null_80,null_81,null_82,null_83,null_84,null_85,null_86,null_87,null_88,null_89,null_90,null_91,null_92,null_93,null_94,null_95,null_96,null_97,null_98,null_99
Syn,3.4483919953090467,2.9886675871119435,3.0649164548748176,2.994348984033852,3.0187080117330596,3.0427145493487076,3.007763740861144,3.000108950264204,3.074542220082126,3.0342699279024323,3.0070307764832647,3.044207708634698,3.037057991513437,3.037536967197547,3.0210011584988012,3.05099093316216,3.004985935396142,3.0515164436863706,3.0057527406924995,3.0494334487543955,3.040031154739683,3.031887216508888,3.045733144743046,2.9870319001386965,3.0491584824700504,3.051762464274373,2.9886675871119435,3.0649164548748176,2.994348984033852,3.0187080117330596,3.0427145493487076,3.007763740861144,3.000108950264204,3.074542220082126,3.0342699279024323,3.0070307764832647,3.044207708634698,3.037057991513437,3.037536967197547,3.0210011584988012,3.05099093316216,3.004985935396142,3.0515164436863706,3.0057527406924995,3.0494334487543955,3.040031154739683,3.031887216508888,3.045733144743046,2.9870319001386965,3.0491584824700504,3.051762464274373,2.9886675871119435,3.0649164548748176,2.994348984033852,3.0187080117330596,3.0427145493487076,3.007763740861144,3.000108950264204,3.074542220082126,3.0342699279024323,3.0070307764832647,3.044207708634698,3.037057991513437,3.037536967197547,3.0210011584988012,3.05099093316216,3.004985935396142,3.0515164436863706,3.0057527406924995,3.0494334487543955,3.040031154739683,3.031887216508888,3.045733144743046,2.9870319001386965,3.0491584824700504,3.051762464274373,2.9886675871119435,3.0649164548748176,2.994348984033852,3.0187080117330596,3.0427145493487076,3.007763740861144,3.000108950264204,3.074542220082126,3.0342699279024323,3.0070307764832647,3.044207708634698,3.037057991513437,3.037536967197547,3.0210011584988012,3.05099093316216,3.004985935396142,3.0515164436863706,3.0057527406924995,3.0494334487543955,3.040031154739683,3.031887216508888,3.045733144743046,2.9870319001386965,3.0491584824700504,3.051762464274373
Gap,5.072938239382678,3.5996060698532473,3.6574194801231723,3.661414264709962,3.6651593752600773,3.697635643023097,3.6629216623347585,3.722017220172202,3.622878228782288,3.6355063550635505,3.68948872305601,3.6473215524176767,3.6999316659833266,3.6952589674591505,3.7459067924012572,3.7169528670901877,3.644143774771081,3.703165311953838,3.6843017243788605,3.650484090215552,3.681399480661473,3.6202735317779564,3.67290851237575,3.667240672406724,3.6877682110154435,3.7176438431050975,3.5996060698532473,3.6574194801231723,3.661414264709962,3.6651593752600773,3.697635643023097,3.6629216623347585,3.722017220172202,3.622878228782288,3.6355063550635505,3.68948872305601,3.6473215524176767,3.6999316659833266,3.6952589674591505,3.7459067924012572,3.7169528670901877,3.644143774771081,3.703165311953838,3.6843017243788605,3.650484090215552,3.681399480661473,3.6202735317779564,3.67290851237575,3.667240672406724,3.6877682110154435,3.7176438431050975,3.5996060698532473,3.6574194801231723,3.661414264709962,3.6651593752600773,3.697635643023097,3.6629216623347585,3.722017220172202,3.622878228782288,3.6355063550635505,3.68948872305601,3.6473215524176767,3.6999316659833266,3.6952589674591505,3.7459067924012572,3.7169528670901877,3.644143774771081,3.703165311953838,3.6843017243788605,3.650484090215552,3.681399480661473,3.6202735317779564,3.67290851237575,3.667240672406724,3.6877682110154435,3.7176438431050975,3.5996060698532473,3.6574194801231723,3.661414264709962,3.6651593752600773,3.697635643023097,3.6629216623347585,3.722017220172202,3.622878228782288,3.6355063550635505,3.68948872305601,3.6473215524176767,3.6999316659833266,3.6952589674591505,3.7459067924012572,3.7169528670901877,3.644143774771081,3.703165311953838,3.6843017243788605,3.650484090215552,3.681399480661473,3.6202735317779564,3.67290851237575,3.667240672406724,3.6877682110154435,3.7176438431050975
Wired,3.2227561176040904,2.6104284290933246,2.6279618410655186,2.618544735813932,2.618352848613875,2.6288919831994155,2.605605479074257,2.623824415631848,2.608610299488678,2.6292101375416577,2.608596067293487,2.617980734112491,2.6225917640613585,2.619933805929981,2.6174830220226983,2.6222013536572795,2.6021617056245434,2.615028383627129,2.609967022576851,2.626266891891892,2.632019265887509,2.6223387807922673,2.6190764243973703,2.622187492817908,2.6268147370343318,2.620548758217677,2.6104284290933246,2.6279618410655186,2.618544735813932,2.618352848613875,2.6288919831994155,2.605605479074257,2.623824415631848,2.608610299488678,2.6292101375416577,2.608596067293487,2.617980734112491,2.6225917640613585,2.619933805929981,2.6174830220226983,2.6222013536572795,2.6021617056245434,2.615028383627129,2.609967022576851,2.626266891891892,2.632019265887509,2.6223387807922673,2.6190764243973703,2.622187492817908,2.6268147370343318,2.620548758217677,2.6104284290933246,2.6279618410655186,2.618544735813932,2.618352848613875,2.6288919831994155,2.605605479074257,2.623824415631848,2.608610299488678,2.6292101375416577,2.608596067293487,2.617980734112491,2.6225917640613585,2.619933805929981,2.6174830220226983,2.6222013536572795,2.6021617056245434,2.615028383627129,2.609967022576851,2.626266891891892,2.632019265887509,2.6223387807922673,2.6190764243973703,2.622187492817908,2.6268147370343318,2.620548758217677,2.6104284290933246,2.6279618410655186,2.618544735813932,2.618352848613875,2.6288919831994155,2.605605479074257,2.623824415631848,2.608610299488678,2.6292101375416577,2.608596067293487,2.617980734112491,2.6225917640613585,2.619933805929981,2.6174830220226983,2.6222013536572795,2.6021617056245434,2.615028383627129,2.609967022576851,2.626266891891892,2.632019265887509,2.6223387807922673,2.6190764243973703,2.622187492817908,2.6268147370343318,2.620548758217677
MA,1.6617183985605037,1.5151443445338382,1.5179377524352577,1.5452091767881242,1.565901934322987,1.556007226738934,1.4767848227658513,1.5691056910569106,1.5177472787505917,1.548582995951417,1.5935672514619883,1.5104117368670138,1.5186938002839565,1.5384615384615385,1.5551057130004498,1.5647773279352226,1.5467479674796747,1.5931174089068827,1.5728744939271255,1.581646423751687,1.5447593342330184,1.5544309491677912,1.5445344129554657,1.5234264079507809,1.5787224471434997,1.6061628430049482,1.5151443445338382,1.5179377524352577,1.5452091767881242,1.565901934322987,1.556007226738934,1.4767848227658513,1.5691056910569106,1.5177472787505917,1.548582995951417,1.5935672514619883,1.5104117368670138,1.5186938002839565,1.5384615384615385,1.5551057130004498,1.5647773279352226,1.5467479674796747,1.5931174089068827,1.5728744939271255,1.581646423751687,1.5447593342330184,1.5544309491677912,1.5445344129554657,1.5234264079507809,1.5787224471434997,1.6061628430049482,1.5151443445338382,1.5179377524352577,1.5452091767881242,1.565901934322987,1.556007226738934,1.4767848227658513,1.5691056910569106,1.5177472787505917,1.548582995951417,1.5935672514619883,1.5104117368670138,1.5186938002839565,1.5384615384615385,1.5551057130004498,1.5647773279352226,1.5467479674796747,1.5931174089068827,1.5728744939271255,1.581646423751687,1.5447593342330184,1.5544309491677912,1.5445344129554657,1.5234264079507809,1.5787224471434997,1.6061628430049482,1.5151443445338382,1.5179377524352577,1.5452091767881242,1.565901934322987,1.556007226738934,1.4767848227658513,1.5691056910569106,1.5177472787505917,1.548582995951417,1.5935672514619883,1.5104117368670138,1.5186938002839565,1.5384615384615385,1.5551057130004498,1.5647773279352226,1.5467479674796747,1.5931174089068827,1.5728744939271255,1.581646423751687,1.5447593342330184,1.5544309491677912,1.5445344129554657,1.5234264079507809,1.5787224471434997,1.6061628430049482
All,2.689910514541387,2.4249217002237136,2.4573154362416108,2.4482102908277406,2.4528859060402683,2.432225950782998,2.42589485458613,2.4313199105145413,2.415682326621924,2.444060402684564,2.438187919463087,2.4404586129753914,2.4374944071588365,2.424026845637584,2.430290827740492,2.4345749440715885,2.435659955257271,2.424519015659955,2.440536912751678,2.4407606263982102,2.4537695749440718,2.4566107382550335,2.4334228187919464,2.441185682326622,2.4504250559284118,2.4432774049217003,2.4249217002237136,2.4573154362416108,2.4482102908277406,2.4528859060402683,2.432225950782998,2.42589485458613,2.4313199105145413,2.415682326621924,2.444060402684564,2.438187919463087,2.4404586129753914,2.4374944071588365,2.424026845637584,2.430290827740492,2.4345749440715885,2.435659955257271,2.424519015659955,2.440536912751678,2.4407606263982102,2.4537695749440718,2.4566107382550335,2.4334228187919464,2.441185682326622,2.4504250559284118,2.4432774049217003,2.4249217002237136,2.4573154362416108,2.4482102908277406,2.4528859060402683,2.432225950782998,2.42589485458613,2.4313199105145413,2.415682326621924,2.444060402684564,2.438187919463087,2.4404586129753914,2.4374944071588365,2.424026845637584,2.430290827740492,2.4345749440715885,2.435659955257271,2.424519015659955,2.440536912751678,2.4407606263982102,2.4537695749440718,2.4566107382550335,2.4334228187919464,2.441185682326622,2.4504250559284118,2.4432774049217003,2.4249217002237136,2.4573154362416108,2.4482102908277406,2.4528859060402683,2.432225950782998,2.42589485458613,2.4313199105145413,2.415682326621924,2.444060402684564,2.438187919463087,2.4404586129753914,2.4374944071588365,2.424026845637584,2.430290827740492,2.4345749440715885,2.435659955257271,2.424519015659955,2.440536912751678,2.4407606263982102,2.4537695749440718,2.4566107382550335,2.4334228187919464,2.441185682326622,2.4504250559284118,2.4432774049217003
All (real wired + null MA),2.689910514541387,2.6555257270693513,2.6564653243847873,2.64996644295302,2.6530536912751677,2.651923937360179,2.654440715883669,2.6549440715883668,2.65668903803132,2.651387024608501,2.653434004474273,2.6518456375838926,2.6519127516778522,2.6531208053691273,2.655917225950783,2.653579418344519,2.6561073825503354,2.6554586129753917,2.655503355704698,2.652158836689038,2.654384787472036,2.6553579418344517,2.6515548098434003,2.6548434004474273,2.658747203579418,2.655447427293065,2.6555257270693513,2.6564653243847873,2.64996644295302,2.6530536912751677,2.651923937360179,2.654440715883669,2.6549440715883668,2.65668903803132,2.651387024608501,2.653434004474273,2.6518456375838926,2.6519127516778522,2.6531208053691273,2.655917225950783,2.653579418344519,2.6561073825503354,2.6554586129753917,2.655503355704698,2.652158836689038,2.654384787472036,2.6553579418344517,2.6515548098434003,2.6548434004474273,2.658747203579418,2.655447427293065,2.6555257270693513,2.6564653243847873,2.64996644295302,2.6530536912751677,2.651923937360179,2.654440715883669,2.6549440715883668,2.65668903803132,2.651387024608501,2.653434004474273,2.6518456375838926,2.6519127516778522,2.6531208053691273,2.655917225950783,2.653579418344519,2.6561073825503354,2.6554586129753917,2.655503355704698,2.652158836689038,2.654384787472036,2.6553579418344517,2.6515548098434003,2.6548434004474273,2.658747203579418,2.655447427293065,2.6555257270693513,2.6564653243847873,2.64996644295302,2.6530536912751677,2.651923937360179,2.654440715883669,2.6549440715883668,2.65668903803132,2.651387024608501,2.653434004474273,2.6518456375838926,2.6519127516778522,2.6531208053691273,2.655917225950783,2.653579418344519,2.6561073825503354,2.6554586129753917,2.655503355704698,2.652158836689038,2.654384787472036,2.6553579418344517,2.6515548098434003,2.6548434004474273,2.658747203579418,2.655447427293065
NP,1.8255575005708198,1.7974351168277647,1.8027627673338915,1.8001750513737727,1.7861983503078651,1.7989192480401857,1.792221630261055,1.7983472971422012,1.8014308547073599,1.8022680569297511,1.794276581170561,1.7990334119796028,1.7973209528883476,1.793301655426119,1.7870842529872897,1.8149402542050384,1.7965197215777262,1.78915754839697,1.7935535428875866,1.797587335413654,1.8107735863493764,1.802153892990334,1.7933632696552249,1.7927314460596786,1.782734311799376,1.7972067889489307,1.7974351168277647,1.8027627673338915,1.8001750513737727,1.7861983503078651,1.7989192480401857,1.792221630261055,1.7983472971422012,1.8014308547073599,1.8022680569297511,1.794276581170561,1.7990334119796028,1.7973209528883476,1.793301655426119,1.7870842529872897,1.8149402542050384,1.7965197215777262,1.78915754839697,1.7935535428875866,1.797587335413654,1.8107735863493764,1.802153892990334,1.7933632696552249,1.7927314460596786,1.782734311799376,1.7972067889489307,1.7974351168277647,1.8027627673338915,1.8001750513737727,1.7861983503078651,1.7989192480401857,1.792221630261055,1.7983472971422012,1.8014308547073599,1.8022680569297511,1.794276581170561,1.7990334119796028,1.7973209528883476,1.793301655426119,1.7870842529872897,1.8149402542050384,1.7965197215777262,1.78915754839697,1.7935535428875866,1.797587335413654,1.8107735863493764,1.802153892990334,1.7933632696552249,1.7927314460596786,1.782734311799376,1.7972067889489307,1.7974351168277647,1.8027627673338915,1.8001750513737727,1.7861983503078651,1.7989192480401857,1.792221630261055,1.7983472971422012,1.8014308547073599,1.8022680569297511,1.794276581170561,1.7990334119796028,1.7973209528883476,1.793301655426119,1.7870842529872897,1.8149402542050384,1.7965197215777262,1.78915754839697,1.7935535428875866,1.797587335413654,1.8107735863493764,1.802153892990334,1.7933632696552249,1.7927314460596786,1.782734311799376,1.7972067889489307
All w/ NP,2.153720514216509,2.0609215453161633,2.0690436772924747,2.06111043210631,2.0657881579093567,2.0638881790202332,2.0634437395140055,2.0628993011188763,2.064299285563494,2.066465928156354,2.066521483094632,2.071388095687826,2.065265941489539,2.068377018033133,2.057821579760225,2.0705658826013043,2.0582660192664526,2.0635770713658736,2.0663992622304197,2.07129920778658,2.0724103065521495,2.0623659737114033,2.070221441983978,2.071554760502661,2.070910323218631,2.0714547616137597,2.0609215453161633,2.0690436772924747,2.06111043210631,2.0657881579093567,2.0638881790202332,2.0634437395140055,2.0628993011188763,2.064299285563494,2.066465928156354,2.066521483094632,2.071388095687826,2.065265941489539,2.068377018033133,2.057821579760225,2.0705658826013043,2.0582660192664526,2.0635770713658736,2.0663992622304197,2.07129920778658,2.0724103065521495,2.0623659737114033,2.070221441983978,2.071554760502661,2.070910323218631,2.0714547616137597,2.0609215453161633,2.0690436772924747,2.06111043210631,2.0657881579093567,2.0638881790202332,2.0634437395140055,2.0628993011188763,2.064299285563494,2.066465928156354,2.066521483094632,2.071388095687826,2.065265941489539,2.068377018033133,2.057821579760225,2.0705658826013043,2.0582660192664526,2.0635770713658736,2.0663992622304197,2.07129920778658,2.0724103065521495,2.0623659737114033,2.070221441983978,2.071554760502661,2.070910323218631,2.0714547616137597,2.0609215453161633,2.0690436772924747,2.06111043210631,2.0657881579093567,2.0638881790202332,2.0634437395140055,2.0628993011188763,2.064299285563494,2.066465928156354,2.066521483094632,2.071388095687826,2.065265941489539,2.068377018033133,2.057821579760225,2.0705658826013043,2.0582660192664526,2.0635770713658736,2.0663992622304197,2.07129920778658,2.0724103065521495,2.0623659737114033,2.070221441983978,2.071554760502661,2.070910323218631,2.0714547616137597
