,real,null_00,null_01,null_02,null_03,null_04,null_05,null_06,null_07,null_08,null_09,null_10,null_11,null_12,null_13,null_14,null_15,null_16,null_17,null_18,null_19,null_20,null_21,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31,null_32,null_33,null_34,null_35,null_36,null_37,null_38,null_39,null_40,null_41,null_42,null_43,null_44,null_45,null_46,null_47,null_48,null_49,null_50,null_51,null_52,null_53,null_54,null_55,null_56,null_57,null_58,null_59,null_60,null_61,null_62,null_63,null_64,null_65,null_66,null_67,null_68,null_69,null_70,null_71,null_72,null_73,null_74,null_75,null_76,null_77,null_78,null_79,null_80,null_81,null_82,null_83,null_84,null_85,null_86,null_87,null_88,null_89,null_90,null_91,null_92,null_93,null_94,null_95,null_96,null_97,null_98,null_99
Syn,0.21744235865345032,0.048429468731118114,0.047829871422624674,0.052565649789818175,0.04682676682252911,0.051672303415118394,0.04594066221647952,0.05030477908689861,0.0486411287994223,0.04564460393172313,0.05015286044395026,0.05084588505118852,0.04765955346654926,0.048488931100255525,0.047243199928998045,0.04568685685720028,0.048686468228858616,0.05263499702080718,0.04902666740104926,0.0476198441608429,0.0446932070950682,0.04856823792420372,0.04888757829295581,0.045908161413783975,0.04794011927296771,0.049597781873764,0.048429468731118114,0.047829871422624674,0.052565649789818175,0.04682676682252911,0.051672303415118394,0.04594066221647952,0.05030477908689861,0.0486411287994223,0.04564460393172313,0.05015286044395026,0.05084588505118852,0.04765955346654926,0.048488931100255525,0.047243199928998045,0.04568685685720028,0.048686468228858616,0.05263499702080718,0.04902666740104926,0.0476198441608429,0.0446932070950682,0.04856823792420372,0.04888757829295581,0.045908161413783975,0.04794011927296771,0.049597781873764,0.048429468731118114,0.047829871422624674,0.052565649789818175,0.04682676682252911,0.051672303415118394,0.04594066221647952,0.05030477908689861,0.0486411287994223,0.04564460393172313,0.05015286044395026,0.05084588505118852,0.04765955346654926,0.048488931100255525,0.047243199928998045,0.04568685685720028,0.048686468228858616,0.05263499702080718,0.04902666740104926,0.0476198441608429,0.0446932070950682,0.04856823792420372,0.04888757829295581,0.045908161413783975,0.04794011927296771,0.049597781873764,0.048429468731118114,0.047829871422624674,0.052565649789818175,0.04682676682252911,0.051672303415118394,0.04594066221647952,0.05030477908689861,0.0486411287994223,0.04564460393172313,0.05015286044395026,0.05084588505118852,0.04765955346654926,0.048488931100255525,0.047243199928998045,0.04568685685720028,0.048686468228858616,0.05263499702080718,0.04902666740104926,0.0476198441608429,0.0446932070950682,0.04856823792420372,0.04888757829295581,0.045908161413783975,0.04794011927296771,0.049597781873764
Gap,0.20618589324735376,0.0377895700490636,0.0433249973163353,0.038744806336220024,0.045200107726280365,0.036797122184556046,0.03904207725465192,0.046270089358498405,0.056637976408063125,0.034724769689353036,0.04034613120213483,0.04609108875010595,0.0402800988154153,0.039316569667191006,0.05528727159764971,0.04353902775436555,0.04119026527367546,0.02913132816582436,0.0410963411714059,0.0469085138237025,0.025930958681811538,0.0342577542111735,0.04089528694981131,0.02967934962666561,0.042772719722343866,0.0353256372182583,0.0377895700490636,0.0433249973163353,0.038744806336220024,0.045200107726280365,0.036797122184556046,0.03904207725465192,0.046270089358498405,0.056637976408063125,0.034724769689353036,0.04034613120213483,0.04609108875010595,0.0402800988154153,0.039316569667191006,0.05528727159764971,0.04353902775436555,0.04119026527367546,0.02913132816582436,0.0410963411714059,0.0469085138237025,0.025930958681811538,0.0342577542111735,0.04089528694981131,0.02967934962666561,0.042772719722343866,0.0353256372182583,0.0377895700490636,0.0433249973163353,0.038744806336220024,0.045200107726280365,0.036797122184556046,0.03904207725465192,0.046270089358498405,0.056637976408063125,0.034724769689353036,0.04034613120213483,0.04609108875010595,0.0402800988154153,0.039316569667191006,0.05528727159764971,0.04353902775436555,0.04119026527367546,0.02913132816582436,0.0410963411714059,0.0469085138237025,0.025930958681811538,0.0342577542111735,0.04089528694981131,0.02967934962666561,0.042772719722343866,0.0353256372182583,0.0377895700490636,0.0433249973163353,0.038744806336220024,0.045200107726280365,0.036797122184556046,0.03904207725465192,0.046270089358498405,0.056637976408063125,0.034724769689353036,0.04034613120213483,0.04609108875010595,0.0402800988154153,0.039316569667191006,0.05528727159764971,0.04353902775436555,0.04119026527367546,0.02913132816582436,0.0410963411714059,0.0469085138237025,0.025930958681811538,0.0342577542111735,0.04089528694981131,0.02967934962666561,0.042772719722343866,0.0353256372182583
Wired,0.2542655782348216,0.07397060385232224,0.07469565717031403,0.07463570870320112,0.07194518643736114,0.07584759146756259,0.07495345833442801,0.08259106599280026,0.07768695692191324,0.07448381755468227,0.07734153412060205,0.0796117428976108,0.07718002837034242,0.0737587328350071,0.07840088911857754,0.07469197156223455,0.07718550135865261,0.08137665968089865,0.07513038366304149,0.08106873693835982,0.07359518346412072,0.07539637879255524,0.07979213095697682,0.0724351959885356,0.07634244309705278,0.07533426850459803,0.07397060385232224,0.07469565717031403,0.07463570870320112,0.07194518643736114,0.07584759146756259,0.07495345833442801,0.08259106599280026,0.07768695692191324,0.07448381755468227,0.07734153412060205,0.0796117428976108,0.07718002837034242,0.0737587328350071,0.07840088911857754,0.07469197156223455,0.07718550135865261,0.08137665968089865,0.07513038366304149,0.08106873693835982,0.07359518346412072,0.07539637879255524,0.07979213095697682,0.0724351959885356,0.07634244309705278,0.07533426850459803,0.07397060385232224,0.07469565717031403,0.07463570870320112,0.07194518643736114,0.07584759146756259,0.07495345833442801,0.08259106599280026,0.07768695692191324,0.07448381755468227,0.07734153412060205,0.0796117428976108,0.07718002837034242,0.0737587328350071,0.07840088911857754,0.07469197156223455,0.07718550135865261,0.08137665968089865,0.07513038366304149,0.08106873693835982,0.07359518346412072,0.07539637879255524,0.07979213095697682,0.0724351959885356,0.07634244309705278,0.07533426850459803,0.07397060385232224,0.07469565717031403,0.07463570870320112,0.07194518643736114,0.07584759146756259,0.07495345833442801,0.08259106599280026,0.07768695692191324,0.07448381755468227,0.07734153412060205,0.0796117428976108,0.07718002837034242,0.0737587328350071,0.07840088911857754,0.07469197156223455,0.07718550135865261,0.08137665968089865,0.07513038366304149,0.08106873693835982,0.07359518346412072,0.07539637879255524,0.07979213095697682,0.0724351959885356,0.07634244309705278,0.07533426850459803
MA,0.5323193848073586,0.4229232005246869,0.4806499255349261,0.47375313351834214,0.4615034748820912,0.531613824330797,0.434352299610547,0.4703518033126575,0.4231604984201208,0.4563421435960291,0.45214141942589015,0.5123726744429106,0.5017631351662101,0.46434684468689474,0.5571389623316866,0.5341696821095667,0.4832067519803096,0.5034094435851904,0.45193174744370945,0.4218726111926016,0.5250971932523542,0.467669217703036,0.4599529248988529,0.4535223502886451,0.47154730558744895,0.46378009177346396,0.4229232005246869,0.4806499255349261,0.47375313351834214,0.4615034748820912,0.531613824330797,0.434352299610547,0.4703518033126575,0.4231604984201208,0.4563421435960291,0.45214141942589015,0.5123726744429106,0.5017631351662101,0.46434684468689474,0.5571389623316866,0.5341696821095667,0.4832067519803096,0.5034094435851904,0.45193174744370945,0.4218726111926016,0.5250971932523542,0.467669217703036,0.4599529248988529,0.4535223502886451,0.47154730558744895,0.46378009177346396,0.4229232005246869,0.4806499255349261,0.47375313351834214,0.4615034748820912,0.531613824330797,0.434352299610547,0.4703518033126575,0.4231604984201208,0.4563421435960291,0.45214141942589015,0.5123726744429106,0.5017631351662101,0.46434684468689474,0.5571389623316866,0.5341696821095667,0.4832067519803096,0.5034094435851904,0.45193174744370945,0.4218726111926016,0.5250971932523542,0.467669217703036,0.4599529248988529,0.4535223502886451,0.47154730558744895,0.46378009177346396,0.4229232005246869,0.4806499255349261,0.47375313351834214,0.4615034748820912,0.531613824330797,0.434352299610547,0.4703518033126575,0.4231604984201208,0.4563421435960291,0.45214141942589015,0.5123726744429106,0.5017631351662101,0.46434684468689474,0.5571389623316866,0.5341696821095667,0.4832067519803096,0.5034094435851904,0.45193174744370945,0.4218726111926016,0.5250971932523542,0.467669217703036,0.4599529248988529,0.4535223502886451,0.47154730558744895,0.46378009177346396
All,0.322050330964027,0.20028680898060502,0.2107238317828363,0.21140579717714775,0.2073328336348264,0.2189154981746874,0.20380505729699142,0.20957399253344447,0.20421426099586984,0.20751053690628868,0.2064370948694528,0.21251339640054961,0.21407152618848427,0.20595757173005041,0.22348925621008128,0.21700099512569734,0.2133060401954409,0.21596285445821775,0.20552752699710525,0.20637110707410336,0.2124410877029911,0.20742108604520842,0.2142337111879137,0.20333912356967518,0.20388476315785792,0.20520689620697444,0.20028680898060502,0.2107238317828363,0.21140579717714775,0.2073328336348264,0.2189154981746874,0.20380505729699142,0.20957399253344447,0.20421426099586984,0.20751053690628868,0.2064370948694528,0.21251339640054961,0.21407152618848427,0.20595757173005041,0.22348925621008128,0.21700099512569734,0.2133060401954409,0.21596285445821775,0.20552752699710525,0.20637110707410336,0.2124410877029911,0.20742108604520842,0.2142337111879137,0.20333912356967518,0.20388476315785792,0.20520689620697444,0.20028680898060502,0.2107238317828363,0.21140579717714775,0.2073328336348264,0.2189154981746874,0.20380505729699142,0.20957399253344447,0.20421426099586984,0.20751053690628868,0.2064370948694528,0.21251339640054961,0.21407152618848427,0.20595757173005041,0.22348925621008128,0.21700099512569734,0.2133060401954409,0.21596285445821775,0.20552752699710525,0.20637110707410336,0.2124410877029911,0.20742108604520842,0.2142337111879137,0.20333912356967518,0.20388476315785792,0.20520689620697444,0.20028680898060502,0.2107238317828363,0.21140579717714775,0.2073328336348264,0.2189154981746874,0.20380505729699142,0.20957399253344447,0.20421426099586984,0.20751053690628868,0.2064370948694528,0.21251339640054961,0.21407152618848427,0.20595757173005041,0.22348925621008128,0.21700099512569734,0.2133060401954409,0.21596285445821775,0.20552752699710525,0.20637110707410336,0.2124410877029911,0.20742108604520842,0.2142337111879137,0.20333912356967518,0.20388476315785792,0.20520689620697444
All (real wired + null MA),0.322050330964027,0.2828874309123452,0.29338471105888414,0.2900328443220976,0.29026779266249847,0.29896388641163085,0.2861090910485128,0.2872501705523463,0.2817020306100961,0.28883374909658754,0.28995675813417343,0.296785155631084,0.29293374088620167,0.2885217430834292,0.3018704499109831,0.30053984200899175,0.29308634907968567,0.2962148739535609,0.28820195839370033,0.28342124359930987,0.29723982203424665,0.2905169499281365,0.2887968333030684,0.2855805022718601,0.2936639724611319,0.2867311144508336,0.2828874309123452,0.29338471105888414,0.2900328443220976,0.29026779266249847,0.29896388641163085,0.2861090910485128,0.2872501705523463,0.2817020306100961,0.28883374909658754,0.28995675813417343,0.296785155631084,0.29293374088620167,0.2885217430834292,0.3018704499109831,0.30053984200899175,0.29308634907968567,0.2962148739535609,0.28820195839370033,0.28342124359930987,0.29723982203424665,0.2905169499281365,0.2887968333030684,0.2855805022718601,0.2936639724611319,0.2867311144508336,0.2828874309123452,0.29338471105888414,0.2900328443220976,0.29026779266249847,0.29896388641163085,0.2861090910485128,0.2872501705523463,0.2817020306100961,0.28883374909658754,0.28995675813417343,0.296785155631084,0.29293374088620167,0.2885217430834292,0.3018704499109831,0.30053984200899175,0.29308634907968567,0.2962148739535609,0.28820195839370033,0.28342124359930987,0.29723982203424665,0.2905169499281365,0.2887968333030684,0.2855805022718601,0.2936639724611319,0.2867311144508336,0.2828874309123452,0.29338471105888414,0.2900328443220976,0.29026779266249847,0.29896388641163085,0.2861090910485128,0.2872501705523463,0.2817020306100961,0.28883374909658754,0.28995675813417343,0.296785155631084,0.29293374088620167,0.2885217430834292,0.3018704499109831,0.30053984200899175,0.29308634907968567,0.2962148739535609,0.28820195839370033,0.28342124359930987,0.29723982203424665,0.2905169499281365,0.2887968333030684,0.2855805022718601,0.2936639724611319,0.2867311144508336
NP,0.260779139361906,0.21292403426110804,0.22414751560271606,0.21466682417079602,0.22099264998928408,0.22308986504985223,0.2176303273882673,0.2195538175853717,0.22680507903510566,0.22064681938152528,0.22496669900110883,0.22796464825969417,0.2205202611446428,0.21810299701052138,0.21884863691791817,0.2319445566680023,0.2185680945893379,0.22152245575587698,0.21660102497063835,0.2349291697920546,0.22197857680537303,0.22109542784397035,0.22397292013787576,0.2218868888690245,0.21926580706027865,0.22394455557892,0.21292403426110804,0.22414751560271606,0.21466682417079602,0.22099264998928408,0.22308986504985223,0.2176303273882673,0.2195538175853717,0.22680507903510566,0.22064681938152528,0.22496669900110883,0.22796464825969417,0.2205202611446428,0.21810299701052138,0.21884863691791817,0.2319445566680023,0.2185680945893379,0.22152245575587698,0.21660102497063835,0.2349291697920546,0.22197857680537303,0.22109542784397035,0.22397292013787576,0.2218868888690245,0.21926580706027865,0.22394455557892,0.21292403426110804,0.22414751560271606,0.21466682417079602,0.22099264998928408,0.22308986504985223,0.2176303273882673,0.2195538175853717,0.22680507903510566,0.22064681938152528,0.22496669900110883,0.22796464825969417,0.2205202611446428,0.21810299701052138,0.21884863691791817,0.2319445566680023,0.2185680945893379,0.22152245575587698,0.21660102497063835,0.2349291697920546,0.22197857680537303,0.22109542784397035,0.22397292013787576,0.2218868888690245,0.21926580706027865,0.22394455557892,0.21292403426110804,0.22414751560271606,0.21466682417079602,0.22099264998928408,0.22308986504985223,0.2176303273882673,0.2195538175853717,0.22680507903510566,0.22064681938152528,0.22496669900110883,0.22796464825969417,0.2205202611446428,0.21810299701052138,0.21884863691791817,0.2319445566680023,0.2185680945893379,0.22152245575587698,0.21660102497063835,0.2349291697920546,0.22197857680537303,0.22109542784397035,0.22397292013787576,0.2218868888690245,0.21926580706027865,0.22394455557892
All w/ NP,0.35915233955953707,0.26290873942285065,0.2752767433923897,0.27238847616551104,0.26877303051981905,0.2765393731561836,0.2698664634937803,0.2746987791601947,0.2715335227525672,0.2726033591496423,0.2716603491808962,0.2740183893634967,0.27392421834042496,0.26721187262543955,0.27527309935863314,0.27599550691933583,0.2746792880627734,0.27626617285139443,0.272201015717583,0.2753187209207346,0.27410349148209984,0.27192251117422583,0.27751732950166663,0.2704743601461049,0.2693775546310161,0.27347182972135275,0.26290873942285065,0.2752767433923897,0.27238847616551104,0.26877303051981905,0.2765393731561836,0.2698664634937803,0.2746987791601947,0.2715335227525672,0.2726033591496423,0.2716603491808962,0.2740183893634967,0.27392421834042496,0.26721187262543955,0.27527309935863314,0.27599550691933583,0.2746792880627734,0.27626617285139443,0.272201015717583,0.2753187209207346,0.27410349148209984,0.27192251117422583,0.27751732950166663,0.2704743601461049,0.2693775546310161,0.27347182972135275,0.26290873942285065,0.2752767433923897,0.27238847616551104,0.26877303051981905,0.2765393731561836,0.2698664634937803,0.2746987791601947,0.2715335227525672,0.2726033591496423,0.2716603491808962,0.2740183893634967,0.27392421834042496,0.26721187262543955,0.27527309935863314,0.27599550691933583,0.2746792880627734,0.27626617285139443,0.272201015717583,0.2753187209207346,0.27410349148209984,0.27192251117422583,0.27751732950166663,0.2704743601461049,0.2693775546310161,0.27347182972135275,0.26290873942285065,0.2752767433923897,0.27238847616551104,0.26877303051981905,0.2765393731561836,0.2698664634937803,0.2746987791601947,0.2715335227525672,0.2726033591496423,0.2716603491808962,0.2740183893634967,0.27392421834042496,0.26721187262543955,0.27527309935863314,0.27599550691933583,0.2746792880627734,0.27626617285139443,0.272201015717583,0.2753187209207346,0.27410349148209984,0.27192251117422583,0.27751732950166663,0.2704743601461049,0.2693775546310161,0.27347182972135275
