,real,null_00,null_01,null_02,null_03,null_04,null_05,null_06,null_07,null_08,null_09,null_10,null_11,null_12,null_13,null_14,null_15,null_16,null_17,null_18,null_19,null_20,null_21,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31,null_32,null_33,null_34,null_35,null_36,null_37,null_38,null_39,null_40,null_41,null_42,null_43,null_44,null_45,null_46,null_47,null_48,null_49,null_50,null_51,null_52,null_53,null_54,null_55,null_56,null_57,null_58,null_59,null_60,null_61,null_62,null_63,null_64,null_65,null_66,null_67,null_68,null_69,null_70,null_71,null_72,null_73,null_74,null_75,null_76,null_77,null_78,null_79,null_80,null_81,null_82,null_83,null_84,null_85,null_86,null_87,null_88,null_89,null_90,null_91,null_92,null_93,null_94,null_95,null_96,null_97,null_98,null_99
Syn,-0.06809896010393501,-0.0863344321781505,-0.09952298181211076,-0.11095494726327663,-0.11718740175972911,-0.07028114428749148,-0.12956099944092597,-0.09034962739947452,-0.1197234202756829,-0.08600943328356493,-0.1300641932926158,-0.09540018376360937,-0.10024079339972221,-0.12547044666826035,-0.11760037893964674,-0.11488061284298737,-0.10041539319149341,-0.10692809273042596,-0.1310153575695297,-0.1194283267893139,-0.07511661938809207,-0.06698087402894762,-0.10491365362176798,-0.09923289740048621,-0.12157122464803162,-0.1172740438464375,-0.0863344321781505,-0.09952298181211076,-0.11095494726327663,-0.11718740175972911,-0.07028114428749148,-0.12956099944092597,-0.09034962739947452,-0.1197234202756829,-0.08600943328356493,-0.1300641932926158,-0.09540018376360937,-0.10024079339972221,-0.12547044666826035,-0.11760037893964674,-0.11488061284298737,-0.10041539319149341,-0.10692809273042596,-0.1310153575695297,-0.1194283267893139,-0.07511661938809207,-0.06698087402894762,-0.10491365362176798,-0.09923289740048621,-0.12157122464803162,-0.1172740438464375,-0.0863344321781505,-0.09952298181211076,-0.11095494726327663,-0.11718740175972911,-0.07028114428749148,-0.12956099944092597,-0.09034962739947452,-0.1197234202756829,-0.08600943328356493,-0.1300641932926158,-0.09540018376360937,-0.10024079339972221,-0.12547044666826035,-0.11760037893964674,-0.11488061284298737,-0.10041539319149341,-0.10692809273042596,-0.1310153575695297,-0.1194283267893139,-0.07511661938809207,-0.06698087402894762,-0.10491365362176798,-0.09923289740048621,-0.12157122464803162,-0.1172740438464375,-0.0863344321781505,-0.09952298181211076,-0.11095494726327663,-0.11718740175972911,-0.07028114428749148,-0.12956099944092597,-0.09034962739947452,-0.1197234202756829,-0.08600943328356493,-0.1300641932926158,-0.09540018376360937,-0.10024079339972221,-0.12547044666826035,-0.11760037893964674,-0.11488061284298737,-0.10041539319149341,-0.10692809273042596,-0.1310153575695297,-0.1194283267893139,-0.07511661938809207,-0.06698087402894762,-0.10491365362176798,-0.09923289740048621,-0.12157122464803162,-0.1172740438464375
Gap,-0.1149380608168846,-0.11236273117490315,-0.05652399467395724,-0.005296894973768694,-0.09748970339756864,-0.08333537226450789,-0.10567485962402115,-0.046362422675751525,-0.0847528017573815,-0.05231163378668533,-0.05358931670983887,-0.08113935474033782,-0.08079997021387508,-0.09094157841640652,-0.08004134597825269,-0.09185991301742322,-0.1350216392652048,-0.12218491864664621,-0.0780649302064994,-0.10264036268153144,-0.06730444433806546,-0.08271649459860539,-0.07992156320420707,-0.12216495485097194,-0.07475094012456993,-0.08627005022862626,-0.11236273117490315,-0.05652399467395724,-0.005296894973768694,-0.09748970339756864,-0.08333537226450789,-0.10567485962402115,-0.046362422675751525,-0.0847528017573815,-0.05231163378668533,-0.05358931670983887,-0.08113935474033782,-0.08079997021387508,-0.09094157841640652,-0.08004134597825269,-0.09185991301742322,-0.1350216392652048,-0.12218491864664621,-0.0780649302064994,-0.10264036268153144,-0.06730444433806546,-0.08271649459860539,-0.07992156320420707,-0.12216495485097194,-0.07475094012456993,-0.08627005022862626,-0.11236273117490315,-0.05652399467395724,-0.005296894973768694,-0.09748970339756864,-0.08333537226450789,-0.10567485962402115,-0.046362422675751525,-0.0847528017573815,-0.05231163378668533,-0.05358931670983887,-0.08113935474033782,-0.08079997021387508,-0.09094157841640652,-0.08004134597825269,-0.09185991301742322,-0.1350216392652048,-0.12218491864664621,-0.0780649302064994,-0.10264036268153144,-0.06730444433806546,-0.08271649459860539,-0.07992156320420707,-0.12216495485097194,-0.07475094012456993,-0.08627005022862626,-0.11236273117490315,-0.05652399467395724,-0.005296894973768694,-0.09748970339756864,-0.08333537226450789,-0.10567485962402115,-0.046362422675751525,-0.0847528017573815,-0.05231163378668533,-0.05358931670983887,-0.08113935474033782,-0.08079997021387508,-0.09094157841640652,-0.08004134597825269,-0.09185991301742322,-0.1350216392652048,-0.12218491864664621,-0.0780649302064994,-0.10264036268153144,-0.06730444433806546,-0.08271649459860539,-0.07992156320420707,-0.12216495485097194,-0.07475094012456993,-0.08627005022862626
Wired,-0.06995849701202868,-0.09969097782202967,-0.08461620442760545,-0.09170486918250759,-0.09660553454245517,-0.07598299272823238,-0.11884674805337028,-0.07755676853202936,-0.0994648677691795,-0.0824379065182549,-0.10813402919694536,-0.09643439468176657,-0.090614874239482,-0.10263343612229965,-0.08961045104992121,-0.09812183126871024,-0.10928030931415533,-0.11776848096819557,-0.11274603898489037,-0.10195141853145957,-0.06212860255473846,-0.07872979223114791,-0.10541555175033454,-0.09949872520966811,-0.0925707873052538,-0.09780259456788484,-0.09969097782202967,-0.08461620442760545,-0.09170486918250759,-0.09660553454245517,-0.07598299272823238,-0.11884674805337028,-0.07755676853202936,-0.0994648677691795,-0.0824379065182549,-0.10813402919694536,-0.09643439468176657,-0.090614874239482,-0.10263343612229965,-0.08961045104992121,-0.09812183126871024,-0.10928030931415533,-0.11776848096819557,-0.11274603898489037,-0.10195141853145957,-0.06212860255473846,-0.07872979223114791,-0.10541555175033454,-0.09949872520966811,-0.0925707873052538,-0.09780259456788484,-0.09969097782202967,-0.08461620442760545,-0.09170486918250759,-0.09660553454245517,-0.07598299272823238,-0.11884674805337028,-0.07755676853202936,-0.0994648677691795,-0.0824379065182549,-0.10813402919694536,-0.09643439468176657,-0.090614874239482,-0.10263343612229965,-0.08961045104992121,-0.09812183126871024,-0.10928030931415533,-0.11776848096819557,-0.11274603898489037,-0.10195141853145957,-0.06212860255473846,-0.07872979223114791,-0.10541555175033454,-0.09949872520966811,-0.0925707873052538,-0.09780259456788484,-0.09969097782202967,-0.08461620442760545,-0.09170486918250759,-0.09660553454245517,-0.07598299272823238,-0.11884674805337028,-0.07755676853202936,-0.0994648677691795,-0.0824379065182549,-0.10813402919694536,-0.09643439468176657,-0.090614874239482,-0.10263343612229965,-0.08961045104992121,-0.09812183126871024,-0.10928030931415533,-0.11776848096819557,-0.11274603898489037,-0.10195141853145957,-0.06212860255473846,-0.07872979223114791,-0.10541555175033454,-0.09949872520966811,-0.0925707873052538,-0.09780259456788484
MA,-0.7809975883777489,-0.7796359995714133,-0.7779176638163344,-0.7719954885627195,-0.7750679385352104,-0.7745700929678703,-0.77546102627895,-0.7753844153380283,-0.7792858229335443,-0.7786926197110978,-0.7831831172720829,-0.7731029086990333,-0.7783591087503722,-0.784140684353852,-0.7707274167597731,-0.7724463892275532,-0.7769283164270836,-0.774607513791442,-0.7805409527775841,-0.781212961283782,-0.7786655516183332,-0.7756670333067173,-0.7776157535610696,-0.7743095272374142,-0.7756235718749415,-0.7798350018973507,-0.7796359995714133,-0.7779176638163344,-0.7719954885627195,-0.7750679385352104,-0.7745700929678703,-0.77546102627895,-0.7753844153380283,-0.7792858229335443,-0.7786926197110978,-0.7831831172720829,-0.7731029086990333,-0.7783591087503722,-0.784140684353852,-0.7707274167597731,-0.7724463892275532,-0.7769283164270836,-0.774607513791442,-0.7805409527775841,-0.781212961283782,-0.7786655516183332,-0.7756670333067173,-0.7776157535610696,-0.7743095272374142,-0.7756235718749415,-0.7798350018973507,-0.7796359995714133,-0.7779176638163344,-0.7719954885627195,-0.7750679385352104,-0.7745700929678703,-0.77546102627895,-0.7753844153380283,-0.7792858229335443,-0.7786926197110978,-0.7831831172720829,-0.7731029086990333,-0.7783591087503722,-0.784140684353852,-0.7707274167597731,-0.7724463892275532,-0.7769283164270836,-0.774607513791442,-0.7805409527775841,-0.781212961283782,-0.7786655516183332,-0.7756670333067173,-0.7776157535610696,-0.7743095272374142,-0.7756235718749415,-0.7798350018973507,-0.7796359995714133,-0.7779176638163344,-0.7719954885627195,-0.7750679385352104,-0.7745700929678703,-0.77546102627895,-0.7753844153380283,-0.7792858229335443,-0.7786926197110978,-0.7831831172720829,-0.7731029086990333,-0.7783591087503722,-0.784140684353852,-0.7707274167597731,-0.7724463892275532,-0.7769283164270836,-0.774607513791442,-0.7805409527775841,-0.781212961283782,-0.7786655516183332,-0.7756670333067173,-0.7776157535610696,-0.7743095272374142,-0.7756235718749415,-0.7798350018973507
All,-0.3049811377757104,-0.28427831459502606,-0.2708767647266099,-0.2820508230105964,-0.2734065251967022,-0.27200507875312224,-0.2783588270823647,-0.27704469180995406,-0.28452957167395326,-0.2748010138982291,-0.28397916261237177,-0.27095897189816237,-0.2722513313091686,-0.28669665163874786,-0.2781223876264004,-0.2699473685062777,-0.2761779676293045,-0.27769096418428707,-0.28443267480607337,-0.2842295521307313,-0.2694481154175546,-0.2720549696716345,-0.28099496524668416,-0.2770088076197997,-0.27447022185229747,-0.2745649163216748,-0.28427831459502606,-0.2708767647266099,-0.2820508230105964,-0.2734065251967022,-0.27200507875312224,-0.2783588270823647,-0.27704469180995406,-0.28452957167395326,-0.2748010138982291,-0.28397916261237177,-0.27095897189816237,-0.2722513313091686,-0.28669665163874786,-0.2781223876264004,-0.2699473685062777,-0.2761779676293045,-0.27769096418428707,-0.28443267480607337,-0.2842295521307313,-0.2694481154175546,-0.2720549696716345,-0.28099496524668416,-0.2770088076197997,-0.27447022185229747,-0.2745649163216748,-0.28427831459502606,-0.2708767647266099,-0.2820508230105964,-0.2734065251967022,-0.27200507875312224,-0.2783588270823647,-0.27704469180995406,-0.28452957167395326,-0.2748010138982291,-0.28397916261237177,-0.27095897189816237,-0.2722513313091686,-0.28669665163874786,-0.2781223876264004,-0.2699473685062777,-0.2761779676293045,-0.27769096418428707,-0.28443267480607337,-0.2842295521307313,-0.2694481154175546,-0.2720549696716345,-0.28099496524668416,-0.2770088076197997,-0.27447022185229747,-0.2745649163216748,-0.28427831459502606,-0.2708767647266099,-0.2820508230105964,-0.2734065251967022,-0.27200507875312224,-0.2783588270823647,-0.27704469180995406,-0.28452957167395326,-0.2748010138982291,-0.28397916261237177,-0.27095897189816237,-0.2722513313091686,-0.28669665163874786,-0.2781223876264004,-0.2699473685062777,-0.2761779676293045,-0.27769096418428707,-0.28443267480607337,-0.2842295521307313,-0.2694481154175546,-0.2720549696716345,-0.28099496524668416,-0.2770088076197997,-0.27447022185229747,-0.2745649163216748
NP,-0.2392133265462924,-0.2500427583581595,-0.22293728475284796,-0.23743371929644078,-0.23291455005629025,-0.22633662365629967,-0.24190474072312534,-0.22988154560500496,-0.21979474410561353,-0.22797323000982633,-0.21736313614885436,-0.22961788414747727,-0.2349210482899615,-0.22833368714279806,-0.25816737606891244,-0.21903641103869595,-0.23647014956899465,-0.2381623081864339,-0.23220433714134334,-0.23871862031282481,-0.23379837388966015,-0.23702641678851605,-0.2324724000406935,-0.22876682373721352,-0.24297959670895952,-0.23581687128171255,-0.2500427583581595,-0.22293728475284796,-0.23743371929644078,-0.23291455005629025,-0.22633662365629967,-0.24190474072312534,-0.22988154560500496,-0.21979474410561353,-0.22797323000982633,-0.21736313614885436,-0.22961788414747727,-0.2349210482899615,-0.22833368714279806,-0.25816737606891244,-0.21903641103869595,-0.23647014956899465,-0.2381623081864339,-0.23220433714134334,-0.23871862031282481,-0.23379837388966015,-0.23702641678851605,-0.2324724000406935,-0.22876682373721352,-0.24297959670895952,-0.23581687128171255,-0.2500427583581595,-0.22293728475284796,-0.23743371929644078,-0.23291455005629025,-0.22633662365629967,-0.24190474072312534,-0.22988154560500496,-0.21979474410561353,-0.22797323000982633,-0.21736313614885436,-0.22961788414747727,-0.2349210482899615,-0.22833368714279806,-0.25816737606891244,-0.21903641103869595,-0.23647014956899465,-0.2381623081864339,-0.23220433714134334,-0.23871862031282481,-0.23379837388966015,-0.23702641678851605,-0.2324724000406935,-0.22876682373721352,-0.24297959670895952,-0.23581687128171255,-0.2500427583581595,-0.22293728475284796,-0.23743371929644078,-0.23291455005629025,-0.22633662365629967,-0.24190474072312534,-0.22988154560500496,-0.21979474410561353,-0.22797323000982633,-0.21736313614885436,-0.22961788414747727,-0.2349210482899615,-0.22833368714279806,-0.25816737606891244,-0.21903641103869595,-0.23647014956899465,-0.2381623081864339,-0.23220433714134334,-0.23871862031282481,-0.23379837388966015,-0.23702641678851605,-0.2324724000406935,-0.22876682373721352,-0.24297959670895952,-0.23581687128171255
All w/ NP,-0.22969220980000019,-0.20919572558414243,-0.21176003570288635,-0.22420307607567055,-0.21452823333234383,-0.21655178282443885,-0.22218208694606986,-0.21385617225810633,-0.21627722244126754,-0.2066674350608171,-0.20527159794837674,-0.20661377210973822,-0.20782176703607952,-0.21123573679310395,-0.21687985175003754,-0.19857923428193805,-0.22391653614916224,-0.21266383759458007,-0.22741025387186498,-0.22572797599338018,-0.20871689764317317,-0.21515931617421105,-0.2200089600063172,-0.21780225086364594,-0.21298489357299788,-0.21699362531849103,-0.20919572558414243,-0.21176003570288635,-0.22420307607567055,-0.21452823333234383,-0.21655178282443885,-0.22218208694606986,-0.21385617225810633,-0.21627722244126754,-0.2066674350608171,-0.20527159794837674,-0.20661377210973822,-0.20782176703607952,-0.21123573679310395,-0.21687985175003754,-0.19857923428193805,-0.22391653614916224,-0.21266383759458007,-0.22741025387186498,-0.22572797599338018,-0.20871689764317317,-0.21515931617421105,-0.2200089600063172,-0.21780225086364594,-0.21298489357299788,-0.21699362531849103,-0.20919572558414243,-0.21176003570288635,-0.22420307607567055,-0.21452823333234383,-0.21655178282443885,-0.22218208694606986,-0.21385617225810633,-0.21627722244126754,-0.2066674350608171,-0.20527159794837674,-0.20661377210973822,-0.20782176703607952,-0.21123573679310395,-0.21687985175003754,-0.19857923428193805,-0.22391653614916224,-0.21266383759458007,-0.22741025387186498,-0.22572797599338018,-0.20871689764317317,-0.21515931617421105,-0.2200089600063172,-0.21780225086364594,-0.21298489357299788,-0.21699362531849103,-0.20919572558414243,-0.21176003570288635,-0.22420307607567055,-0.21452823333234383,-0.21655178282443885,-0.22218208694606986,-0.21385617225810633,-0.21627722244126754,-0.2066674350608171,-0.20527159794837674,-0.20661377210973822,-0.20782176703607952,-0.21123573679310395,-0.21687985175003754,-0.19857923428193805,-0.22391653614916224,-0.21266383759458007,-0.22741025387186498,-0.22572797599338018,-0.20871689764317317,-0.21515931617421105,-0.2200089600063172,-0.21780225086364594,-0.21298489357299788,-0.21699362531849103
All (real wired + null MA),-0.3049811377757104,-0.31515621693555257,-0.310427435024136,-0.31148435892343407,-0.31268268282506145,-0.30909175555357976,-0.31627510094525135,-0.3112933345754257,-0.31962997219045447,-0.31378091806844816,-0.3187658370698845,-0.3084676401250271,-0.31092672013067896,-0.3164032013232057,-0.3079694351143049,-0.30552170733538464,-0.3073525176931242,-0.3086969692108704,-0.31553673515784386,-0.3186416840775313,-0.3078821235277574,-0.30996004239791947,-0.3129989118638771,-0.31696218151904665,-0.3116696029852174,-0.3167957543057421,-0.31515621693555257,-0.310427435024136,-0.31148435892343407,-0.31268268282506145,-0.30909175555357976,-0.31627510094525135,-0.3112933345754257,-0.31962997219045447,-0.31378091806844816,-0.3187658370698845,-0.3084676401250271,-0.31092672013067896,-0.3164032013232057,-0.3079694351143049,-0.30552170733538464,-0.3073525176931242,-0.3086969692108704,-0.31553673515784386,-0.3186416840775313,-0.3078821235277574,-0.30996004239791947,-0.3129989118638771,-0.31696218151904665,-0.3116696029852174,-0.3167957543057421,-0.31515621693555257,-0.310427435024136,-0.31148435892343407,-0.31268268282506145,-0.30909175555357976,-0.31627510094525135,-0.3112933345754257,-0.31962997219045447,-0.31378091806844816,-0.3187658370698845,-0.3084676401250271,-0.31092672013067896,-0.3164032013232057,-0.3079694351143049,-0.30552170733538464,-0.3073525176931242,-0.3086969692108704,-0.31553673515784386,-0.3186416840775313,-0.3078821235277574,-0.30996004239791947,-0.3129989118638771,-0.31696218151904665,-0.3116696029852174,-0.3167957543057421,-0.31515621693555257,-0.310427435024136,-0.31148435892343407,-0.31268268282506145,-0.30909175555357976,-0.31627510094525135,-0.3112933345754257,-0.31962997219045447,-0.31378091806844816,-0.3187658370698845,-0.3084676401250271,-0.31092672013067896,-0.3164032013232057,-0.3079694351143049,-0.30552170733538464,-0.3073525176931242,-0.3086969692108704,-0.31553673515784386,-0.3186416840775313,-0.3078821235277574,-0.30996004239791947,-0.3129989118638771,-0.31696218151904665,-0.3116696029852174,-0.3167957543057421
